place,code
Adegoju Camp,350104
Adegu,263106
Adegu,263101
Adeke,970101
Adekola,200109
Adelabu,200109
Adeleke,250101
Adeleye Camp,370101
Adelogun,200129
Aderenle Town,112104
Adesekun,200129
Adewuyi,202101
Adiga,981114
Adigi-Gwari,260105
Adigun,251105
Adiho,260105
Adika,601101
Adikipo Mbaagwa,981114
Adinjere,260105
Adishin,752105
Adiyani Fulani,731105
Ado Ekiti,3.60211E+65
Adodo,202101
Adogba,402120
Adogba,200109
Adogo,923102
Adogo Abase,923102
Adogu,263106
Adohu,260105
Adoki,260105
Adoloko,272101
Adonukoko,264103
Adu,264103
Adua,612104
Aducuwa,720103
Adudu,951102
Aduga,903101
Aduge,261103
Adukiri,562102
Adum,972108
Adum,272101
Aduwa,733101
Aduwa,923104
Aduwo Camp,350104
Afanya Bassa,260105
Afara,512101
Afe,601105
Afero,106101
Afia Isong,520108
Afka,923104
Afo,905102
Afolu Camp,361103
Afonja,211108
Afonja,202101
Afoo,103101
Afoto Giwa,260105
Afradiki,503102
Aftaka,750101
Afuku,263103
Afunfuna,720103
Afura,962102
Agabala,121101
Agabija,950101
Agaboshi Gwari,260105
Agada,562102
Agada,510102
Agaga,260105
Agagiwa,832101
Agaja,102101
Agaja Asani,102101
Agala,824104
Agala,102101
Agalawa,711102
Agalawa,702103
Agalegu,480101
Agalegu,480103
Agalegu I,480107
Agalegu Ii,480107
Agalla,823102
Agam,970101
Agam,962102
Agama,263101
Aganna,503102
Aganofor,503102
Aganta,822102
Agapa Lama,610106
Agarandawa,702103
Agasa,263101
Agayawa,823104
Agbaa,211108
Agbaakin,211108
Agbachi,972108
Agbachichama,503102
Agbada,402120
Agbada,272101
Agbadama,503102
Agbadem,503102
Agbadu,970101
Agbaduma,972108
Agbagbonyin,121101
Agbagwu,442101
Agbaka,211108
Agbakabiriyai,562101
Agbakoroma,503102
Agbala,503101
Agbalekan Ama,502102
Agbalowo-Asa,211108
Agbalu,512101
Agbamuzu,441113
Agbandele,511102
Agbanimu,361104
Agbaoga,511101
Agbarionya,260105
Agbe,361103
Agbegise,112104
Agbeji,272101
Agbere,561101
Agbere,350104
Agbere Sowo,121101
Agberinde,211108
Agbeshir,970101
Agbeta,501101
Agbia,569101
Agbirigidi,200136
Agbkien- Ama,500103
Agbnchia,501101
Agbobiri,569101
Agbogwu,402121
Agbojedo,103101
Agboju,102102
Agboke,110109
Agbomiri,441113
Agbonmagbe,121101
Agbowa,120101
Agbowo,121101
Agbowo Village,200109
Agbowu,121101
Agbyadya,912105
Age Mowo,103101
Agenada,970101
Aggur,851103
Agibogga,912101
Agidi,106101
Agimi,263101
Agiri,710102
Agirigbobn-Oke,261103
A'giwa,713105
Agiya Dadin,923102
Ago Akerun Camp,350104
Ago Daniel,250101
Ago Gbada,250101
Ago Gbagudu,350104
Ago Ilobu,250101
Ago Isola,250101
Ago Maleki,250101
Ago Mogaji,250101
Ago Offa,250101
Ago Sasere,361104
Ago Taiwo,350104
Agogoigi Ise,106101
Agoguma,752105
Agojeju,272101
Agon,752105
Agonu,102101
Agonvi,103101
Agorin,103101
Agoro,561101
Agoro,120101
Agoro,200109
Agorogbene,561101
Agorogbene,569101
Agosi Estate,112104
Agotama,742101
Agoyo,981114
Agrete,501101
Agrisaba,562102
Aguba,962103
Agubagaha,562101
Agudama,569101
Agudama-Epie,569101
Agudu,950101
Agufa,720103
Agukpobe,480107
Aguma,270101
Agumo,103101
Agundzu,480105
Agunpopo,211108
Aguntoye,121101
Agusha,752105
Agwa/nuahua,511101
Agwada,961102
Agwai,903101
Agwale,923104
Agwara,511101
Agwatashi,951102
Agwut Obolo,503102
Agyana,905101
Agyara,260105
Agyarag Yakubu,950101
Agyaragu To,950101
Ahadja,330103
Ahi Ogbakiri,511102
Ahia Wokoma,511102
Ahiniri,511101
Ahiyo,750105
Ahogbada,250101
Ahoko,260105
Ahoto,721103
Aida,863103
Aiegbe,561102
Aila,972108
Aisawa,822105
Aissa,962103
Aivoji Beach,103101
Aiyara-Gbanagana,260105
Aiyegunle Gbede,261103
Aiyele-Igaisu,972108
Aiyeotro-Gbrdde,261103
Aiyere Ayere,261103
Aiyeromi,263103
Aiyetoro,121101
Ajaba,234101
Ajada,272101
Ajaganbari,106101
Ajagbadi.,202101
Ajagolo,330101
Ajaguoyibo,330101
Ajalaruru,211108
Ajana Camp,350104
Ajanagu,260105
Ajangbadi,102101
Ajaokuta,263106
Ajatitor,330101
Ajebamidele Camp,361103
Ajebamidele Ilofa Camp,361103
Ajebandele,361104
Ajebandele,106101
Ajebandele,121101
Ajebo,121101
Ajediomku,272101
Ajegunl,371104
Ajegunle,251105
Ajegunle,250101
Ajegunle,121101
Ajegunle,211108
Ajegunle Camp,361103
Ajelanwa,250101
Ajeregun,121101
Ajia,200109
Ajido,103101
Ajikamai,940101
Ajikobi,211108
Ajili,750101
Ajingi,713103
Ajiolo,272101
Ajiri,611105
Ajiri,602101
Ajita Bassa,260105
Ajiyan,121101
Ajobo,200136
Ajofin,202101
Ajokete,202101
Ajoko,250101
Ajuchaja,272101
Ajule-Alagbaa,200109
Ajun,733101
Ajura,733103
Ajurawa,962106
Ajuye,961102
Aka,270101
Akaan,970101
Akabu,260105
Akabu-Anuuya,260105
Akada,569101
Akakumana,562102
Akalawa,863101
Akan,202101
Akanga,951102
Akani,510102
Akaparo,211108
Akar,720102
Akarakunmo,103101
Akare,922107
Akarigbo,121101
Akasa,562101
Akata,106101
Akata,120101
Akeddei,561101
Akele,972108
Akerele,200129
Aketanbako,912101
Akeye,361104
Akeza,752105
Aki,970101
Akigwe,970101
Akilo,200129
Akinbulure Camp,350104
Akindeji,200129
Akingbala,200136
Akinhami,112104
Akinjero 1 & Ii,200136
Akinku,211108
Akinside,112104
Akinyele,200136
Akipelai,562101
Akobobe,264103
Akodo Ire,106101
Akodo Ise,106101
Akogun,110109
Akoko,981114
Akolo,972108
Akolo,961102
Akolomani,562103
Akonoboro,263103
Akori,905102
Akori Bassa,260105
Akoro- Sogbo,502102
Akowooloti,200129
Akpa Ekpene Oton,520108
Akpabi,260105
Akpabu,511102
Akpabu,511101
Akpajo,501101
Akpakpasu,503101
Akpaku,260105
Akpanya,480101
Akpara,260105
Akpasu,260105
Akpehe,970101
Akpeko,972108
Akpelu,272101
Akpide,569101
Akpo,260105
Akpogu,260105
Akpori Bassa,260105
Aku,713102
Aku,264103
Akum,962102
Akume,970101
Akumu,923102
Akunomi,569101
Akunza,950101
Akurba,950101
Akurba Asanya,950101
Akure,272101
Akutu,962106
Akuyam,750101
Akwa,431116
Akwa,512101
Akwaka,402121
Akwanga,960101
Akware,961102
Akwu,972108
Akwu,270101
Akwukobi,512101
Akyara Bassa,260105
Ala,611105
Alaafin Palace,211108
Alaasiakiri,503101
Alaba,102101
Alabamarum,361104
Alabanle,250101
Alabere,250101
Alabi Camp,361103
Alagarne,752106
Alagarno,752105
Alagba,260105
Alagbaa,200136
Alagbada Camp,361103
Alagbe,121101
Alagbede,234101
Alagbede,202101
Alagi,250101
Alajawa,701104
Alajawa,701101
Alajawa,704102
Alakia,200109
Alakija,102102
Alako,200129
Alakoto Meji,103101
Alakyo,950101
Alala,923101
Alamga,923104
Alampa,905102
Alanga Kure,923104
Alao,250101
Alapako,106101
Alapako Oke,112104
Alapako Sogunje,112104
Alapoti,112104
Alapoto,361104
Alarere,200109
Alarge,612103
Alarobo,200109
Alase,250101
Alase Araromi,121101
Alau,610106
Alau,600104
Alaya,250101
Alayan,202101
Alayin,250101
Alayin,110109
Alayin,202101
Alayin Aleyin,250101
Alayyi,751106
Albasa,830104
Albasu,712104
Aldejobi,371104
Alebale,250101
Aleibiri,561102
Alejoh,501101
Aleku,900101
Alela,843103
Aleniboro,250101
Alese,501101
Aleshinloye,202101
Aleto,501101
Alfindi,712102
Alganari,752105
Algarno,603103
Alhajeri,752105
Alhajiri,610101
Alhazawa,810102
Alhrani,700105
Alibaruhu,480107
Alibaruhu,480108
Alibaruhu,480102
Alike Agbaja,480103
Alioko,272101
Aliolo,272101
Aliyaba,823101
Aliyu,612101
Aliyu Goyi,912105
Alj. Maikumbo,913104
Aljawa,833101
Alkaleri,750103
Alkollko,922107
Alkusu,912105
Alla,970101
Alla,611105
Alla,251105
Allagaokiri,562102
Allah,260105
Allah Madagara,832101
Allaraini,822103
Allemi,820103
Allu,905102
Almajiraiwa,832102
Almakiyayi,832101
Alode,501101
Alu,981114
Aluama,473101
Alubata,211108
Alupape,121101
Alusekere,211108
Aluu,511101
Alwasa,861101
Am. Benyo,923101
Ama Sunday,503102
Amaabo,402121
Amabulour,561102
Amachi,480102
Amachi-Amagu,480107
Amachi-Onuteta,480107
Amadio-Ama,500101
Amaechara-Nkaleke,480103
Amagbefeu,562101
Amagu,480102
Amagu,401101
Amaguwa,733102
Amaha,961102
Amaigbo,471115
Amainyima I,491108
Amainyima Ii,491108
Amaji,512101
Amajo/ufueze,491108
Amakporor,491108
Amaku,962102
Amaku,512101
Amalem,510102
Amalewa,752105
Amanadama,503101
Amananaator I,491108
Amananator Ii,491108
Amangwu,442101
Amangwu,491108
Amanku,503102
Amannagwu,442101
Amansa,503102
Amaoba,441113
Amaogwu,441113
Amaoke,503102
Amaokwe,491108
Amaozua,464101
Amapa,511102
Amar Zakawa,700105
Amaraka,510102
Amarata,569101
Amarawa,713102
Amarawa,702101
Amarawa,713105
Amarchari,752106
Amarchiyari,752106
Amaryawa,705103
Amasa,442101
Amasara,562102
Amasso,569101
Amata/omirima,491108
Amatamuno,503102
Amaza,800101
Amba,961102
Ambase,961102
Ambolu,602104
Ambursa,860101
Amdaga,610106
Amechara,480107
Amegu-Onicha,480107
Amehinti,341101
Ameji,480105
Ameraga,981114
Ameta,480101
Ameta,480103
Amike,480107
Amindole,601105
Amiteku,121101
Amiyi,402120
Amkolom,770102
Amoba,442101
Amoko,260105
Amorokeni,562103
Amorota,510102
Amovia,402120
Amozo,480103
Ampogu,562101
Amuguru,263103
Amukwa,442101
Amungi,923102
Amuroko,361104
Amuruto,562103
Amutu,491108
Amuvi,442101
Amuwo Odofin,102102
An. Auta,923101
An. Dan Jibo,923101
An. Maidandum,923101
An. Mamman Gwdan,923101
An. ManG/abara,923101
An. Muham.,923101
An. Nagani,923101
An. Saidu,923101
Anadariya,711104
Anadua,611104
Anaina,923104
Anama,272101
Ananagbene,561102
Ananchi-Nkaleke,480103
Anaye,361104
Anbara,912105
Andama,752105
Andarai,863103
Andawa,702101
Andaza,720102
Andewayo,962102
Andikiri,500103
Andubun,750103
Anegbaki,260105
Ang Duste,812104
Ang. Arume,961102
Ang. Doka,961102
Ang. Kanawa,812104
Ang. Labalo,812104
Ang. Ma Aji,812104
Ang. Madaki,810102
Ang. Magaji,961102
Ang. Mai Nasara,961102
Ang. Mai Sauri,961102
Ang. Mall Dogo,810102
Ang. Rana,961105
Ang. Salabu,961101
Ang. Yaro,961102
Ang. Zabuwa,961102
Angalabie,503101
Angalabiri,561101
Angalawei-Gbene,561102
Angba,960134
Angbo,960134
Angewa,962103
Ang-Gabas,810103
Angu,923104
Anguwan Jaba,961101
Anguwan Layi Lassa,657101
Anguwan Maiganga,961101
Anguwan-Lambu,961101
Angwa Ayaba,950101
Anibeze,561101
Anike I,491108
Anike Ii,491108
Aniningboko,510102
Anipupo,110109
Aniura,260105
Ankpa,972108
Ankpa,270101
Anna,923104
Anogi,263106
Anta Ba Laifi,961105
Anter,970101
Antiau,611101
Antyu,981114
Anyadulogu,480108
Anyama,562103
Anyama,503102
Anyama-Aganna,503102
Anyamabele,569101
Anyamaboko,503102
Anyau,923104
Anyo,923104
Anyoke,264103
Anyoke Enyomo,264103
Anyu,510102
Apa,103101
Apala,106101
Apani,511101
Apara,250101
Apara,121101
Aparanbio,562101
Apashi,260105
Apata,263103
Apata,202101
Apata Olodo,202101
Apata-Ajo,371104
Apawu,961102
Apawu,962102
Apele Suberu,121101
Apenpe,202101
Aperin,250101
Apete,200109
Apete,200129
Apia,910101
Apir,970101
Apoku,200109
Apugye,901101
Ara,370101
Araaba Arakpo,260105
Araba,843101
Arabode,721101
Araga,106101
Aragba,330101
Araromi,370101
Araromi,361103
Araromi,106101
Araromi,121101
Araromi Quqters,112104
Araromi-Gbede,261103
Aratu Camp 1 & Others,361103
Arautake,824104
Arawa,751106
Arawa,743104
Arawa,970101
Arawe,260105
Arawu,263103
Arce,610106
Ardoram,602104
Are-Eromasanyin,211108
Arege,602103
Arege,602101
Arege,110109
Aremo Area,211108
Arere,263103
Arewa,832102
Argida,713102
Argungu,8.61215E+35
Ari,742101
Arida Gare,923104
Arie Camp,370101
Arigbabu,121101
Arigida,923104
Arima,261103
Ariri,752105
Ariya'garin Lamido Bangi,752106
Arma,913104
Aro Camp,361103
Arobana,750101
Arobo,121101
Arola Camp,361103
Arolu,200109
Aro-Okigwe,470101
Aro-Ubaha,470101
Aroyi Ajegunle,121101
Aru,742103
Arukwo,510102
Arumhikiri,562101
Arunuse,330101
Arusu,961102
Asa,502103
Asadu,612101
Asaga,442101
Asagar,602101
Asagba,330103
Asagun,112104
Asaju,200109
Asake,752105
Asakokola,503102
Asakokolo,503102
Asalu Camp,361103
Asamabiri,561101
Asani,112104
Asanminu,211108
Asaoye,250101
Asapate,250101
Asar,602101
Asara,843103
Asara Arewa,843103
Asarama,503102
Asaramatoru,503101
Asba Titun,202101
Asbado,272101
Asemeningolike,500103
Asenba,120101
Aseni,260105
Aseri Owode,103101
Asesu,202101
Ashama,972108
Ashama,923104
Ashamu,211108
Asheru,202101
Ashigashia,610106
Ashingi,923104
Ashipa,211108
Ashishi,260105
Ashishi,922107
Ashiwa,923102
Ashuran,741103
Asipa,250101
Asipa,121101
Asipa Beach,103101
Asipo Epe,106101
Aso Pada,961105
Assan,923102
Assanyi,912105
Asuk-Ama,503102
Asuk-Oyet,503102
Asunrin Village,370101
Asurbun,752105
Asurubaa,503102
Ataba,503102
Atabakiri,503101
Atabara,951102
Ataga,962103
Atai Ikwen,530103
Ataki,260105
Atakobo,120101
Atakpa,972108
Atakuya,752105
Atama,961102
Atami,264103
Atani,442101
Ateba,264103
Ate-Uge,272101
Atiba,120101
Atiekpe,552101
Atissa,569101
Atsauna,903101
Attakwanyo,843103
Atubo,562101
Atuma,270101
Aturube,503102
Atuuku,981114
Aubira,912105
Auchan,812101
Audaga,713101
Audi,800101
Audun Galadima,961102
Augie,861104
Auguwan Kuramai,961102
Aujarawa,702101
Auno,741103
Auta Gurgi,961105
Auyakari,750103
Auyakayi,731107
Auyan,731107
Auyo,731107
Awajeakiri,562101
Awakkala,842105
Awala,830104
Awalkiti,841102
Awara Camp,370101
Awazakiri,562101
Awe,951103
Awe Akinde,112104
Awe Alapapo,112104
Awe-Nla,112104
Awesu,250101
Awgu,402120
Awgunta,402121
Awkunanaw,401101
Awolowo Camp,350104
Awoniyi,250101
Awotan,200129
Awuse,950103
Ayaba,905102
Ayagirikiri,562101
Ayama,330103
Ayama,731107
Ayama,503102
Ayama,502102
Ayamassa,561102
Ayawu,923104
Ayebode,370101
Ayede,112104
Ayegbogbo,232116
Ayegun,200129
Ayeh-Gbede,261103
Ayekale,250101
Ayelala,361104
Ayelala,371104
Ayele,972108
Ayele,962103
Ayeni,250101
Ayepe,200109
Ayesan,106101
Ayetoro,263103
Ayetoro,211108
Ayetoro Obaaro,234101
Ayituwo,923104
Aza,962103
Azama-Agbaja,480103
Azgajita,611101
Azikoro,569101
Azore,702103
Azuabe,480105
Azuebirigba-Agbaja,480103
Azugwu-Agbaja,480103
Azuiyokwu-Agbaja,480103
Azu-Oji-Ntezi Aba,480104
Azuoto,480105
Azur,601101
Azuu,970101
Azu-Uda-Echara,480103
Azu-Uda-Eda-Echora,480104
B. Anma,923104
B. Dere,501103
B/dahu,821103
B/sadawa,703103
B/tudu,872102
B/tumau,701101
Ba' Ale,601101
Ba Auzini,705102
Ba Awa,820103
Ba Egin,361104
Ba Ojilo,361104
Baago,211108
Baale,200129
Baamu,112104
Baawa,711105
Baba Dwafu,912105
Baba Isale,202101
Baba Ko,912101
Babagi,923102
Babalawo,200136
Baban Kurmi,903101
Babande,733101
Babawa,702101
Babba Zaure,923104
Babban Aso,923102
Babban Mutum,824105
Babban Rami,923102
Babban Ruga,701101
Babban Titi,810103
Babeko,912101
Baben Kasa,742104
Baburi,710104
Baburti,751106
Babuwuri,752105
Bacha,710102
Bachaka,841102
Bachaye,861101
Baci Bano,760104
Bacirawa,700105
Bada Koshi,750101
Bada Mai Tulu,922107
Badagari,741104
Badagry,1.03211E+29
Badake,824104
Badakkar,923101
Badakoshi,750106
Badakoshi,740101
Badan,702101
Badara,743104
Badari,704101
Badariya,862104
Badaromo,742104
Badau,701101
Badauri,823102
Badaza,705102
Bade-Kwantakwaran,831101
Baderi,704101
Badingu,721101
Badiyaso,742103
Bado,820103
Bado,913104
Badodo,701104
Badoke,263106
Badu,612103
Badukike,923104
Badukke,923101
Badume,703101
Baen 1,502102
Bafarawa,883101
Bagada,923102
Bagadaza,760104
Bagado,800104
Bagagare,712102
Bagam,752105
Bagana,263106
Bagari,701101
Bagasa,923104
Bagaye,861104
Bage,743104
Bage,750103
Bagel,741101
Bagiwa,823101
Bago,905101
Bago,860101
Bago-Gwadamo,733102
Bagom,800108
Bagoma,832102
Baguda,711104
Bagudo,871101
Bagudu,830102
Bagujan,700105
Bagurawa,702103
Bagwai,701104
Bagwaro,712103
Bahindi,871101
Baida,824102
Baima,742103
Bajangawa,611101
Bajar,741101
Baje,703103
Baje,703102
Bajen,642104
Baji,712102
Bajida,872102
Bakaima,603107
Bakan Karo,823101
Bakar Sabara,733101
Bakarari,702105
Bakarfa,710105
Bakarya,830102
Bakate,962106
Bakatuma,752105
Bakeko,912105
Bakginde,743104
Baki,751106
Baki,733101
Bakin Ado I,961105
Bakin Ayeni,961102
Bakin Dutsi,923104
Bakin Gulbi,923101
Bakin Jangal,705103
Bakin Kogi,940101
Bakin-Dyutse,742101
Bakinkogi,711102
Bakinkwari,823104
Bakin-Zenebide,912101
Bakono,962103
Bakori,742101
Bakori,831101
Bakul,750103
Bakura,810102
Bakutumbe,742101
Bakwai Bakwai,923102
Bakwami Bakwami,704102
Bakwanga,721101
Bala,741104
Balago,720102
Balan,713102
Balan,704103
Balanga Garu,761118
Balangaje,610106
Balanshi,740101
Balarabe,733101
Balarabe,732105
Balare,713103
Balazala,610106
Balba,603103
Bale,502102
Bale Oke Aro,250101
Bale-Galtimari,600104
Balelayo,202101
Bali,750106
Bali,913104
Balijan,750103
Balkiri,752105
Ball Lusa,741104
Balla,743104
Ballang Lep,933101
Ballang-Shippang,933101
Balle,841102
Balma,742101
Balo,740103
Balogun,112104
Balogun Maje,211108
Balu Akure,260105
Balugun,121101
Bama,6.10102E+71
Bamaina,721101
Bamana,843103
Bamankiri,562101
Bamau,705103
Bambadawa,923104
Bambarawa Nasara,701101
Bambiyo,750105
Bamishi,903101
Bamisu-Wuya,912101
Bamle,823102
Bamuwa,602101
Ban- Ogoi,501102
Banayi Ii,903101
Bandagi,905101
Bandas,741101
Bane,502102
Bangare,702101
Bangashe,713102
Bange,713101
Bangha,502102
Bangi,923102
Bangie,912101
Bangim,741101
Bangire,750103
Bango,712102
Bangu,872102
Bangudu,211108
Banishuwa,760102
Banji,981114
Bankaura,701101
Bankwagi,922107
Banniu Gbogi,912101
Bansuwa,732105
Bantigi,912105
Bantuwa Area,912101
Banuwa,602103
Banye,822104
Bappare,641110
Bar,741104
Bara,743104
Bara - Kani Sogbo,502102
Bara - Obara,501102
Baraduwa,741103
Barago,901101
Baragumi,705103
Barakai,832103
Barako,501103
Barako - Saako,502102
Baram,741104
Baran Rafi,901101
Baranda,720101
Barandau,720101
Barangoni,901101
Barapa,901101
Barawa,610106
Baraya Zaki,842103
Barayi Pada,903101
Barayira,501102
Baraza,741101
Barche,933101
Bardayya,822103
Barde,831101
Bardo,733103
Bare,824105
Barebari,721102
Bare-Bari,821103
Barege,824104
Bareruwa,823104
Bargaja,883101
Bargoza,733101
Bargu,603103
Bargu,800101
Bari,704105
Bari-Bezi,905102
Bariki,263101
Barkaya,742104
Barkin Ladi,9.31212E+23
Barkiya,821103
Barkum,710103
Barmo,750101
Barmuwa,602101
Barnawa,710101
Barnesu,752105
Baro,923104
Bartholomy,503101
Barumi,740102
Barwa,601105
Barwa,810102
Barwa,922107
Barwari,752105
Basan Jiwa,900102
Basana,705103
Basaura,863101
Bashe,705103
Bashi,912105
Bashi Mugun,912105
Bashuwa,923104
Basirka,721102
Baskore,704103
Basorun,211108
Bass - Luekun,502102
Bassa,260105
Bassa,950101
Bassan Zarangi,961102
Bassawa,810103
Basullube,923101
Bataga,263106
Batagi,913104
Bataiya,712104
Batakashi,733101
Batan-Ndaba,922107
Batsari,82016
Batu,742101
Batun,932112
Bauda,711105
Baude,821103
Baugel,823103
Bauni,824101
Baurawa,822102
Baure,742101
Baure,824105
Baure,822105
Baure,821103
Baushe,741103
Bawa Ragura,923101
Bawallali,912105
Baya Banza,750101
Bayan Dutse,704102
Bayan_Gayi,922107
Bayara,740102
Bayawo,750101
Bayo,760104
Bazamri,610104
Bazango Bwari,901101
Bazara,705103
Bazariye,961102
Bazi-Bezi,905102
Bazumagi,912101
Beakoro - Beeri,502102
Be'al,823103
Beam,502102
Bebbe Court,502102
Bebeji,711104
Bebeji,710105
Bebel,651102
Bebelibiri,569101
Bebuagam,552101
Bebuyobang,552101
Bechi,700104
Beetseh,970101
Begi,922107
Bego,601101
Beguwa,703101
Beguwa,702103
Beguwa,823103
Behu,260105
Beinin,933101
Bejo,920102
Bela,861101
Belas,705102
Bele,760104
Bele,830102
Beletiama,562101
Beli,750103
Beli,704105
Belli,703101
Bello,912101
Beni,743104
Benisheik,601105
Benkiri,562101
Benkiri,562102
Benuwhuan,552101
Bera,501103
Ber-Agbum,981114
Bere,502102
Beregade,503101
Berek,933101
Berje,923104
Beta,712102
Betaland,569101
Beti,750101
Bia Agi Eyi,913104
Biantubu,562101
Bianui -Bamgha,502102
Biara,501103
Bibiroko,260105
Bichi,703101
Bida,612101
Bida,9.12102E+41
Bida-Fawa,912101
Bidafwa,912101
Bidawa,824104
Bidis,750103
Bidore,823104
Biemekiri,503101
Bigi,740102
Bigitita Bassa,260105
Bijagi,913104
Bila,603103
Bilazi,603103
Bilbis,830102
Bilemekiri,503101
Bili,872105
Bille,504102
Bima,752105
Bima,603103
Bimasa,352105
Bimasa Lofa,352105
Binashi,704103
Bindawa,822105
Bindiri,752105
Bingaje,851101
Bingin-Buta,742101
Binji,853101
Binji,851101
Binkola,641101
Binye,503101
Biogbolo,569101
Biraidu,270101
Birayekiri,503101
Birchi,821103
Birigo Bassa,260105
Birin Dawa,832101
Biriri,752106
Birjingo,842105
Birjiwa,823101
Birkin,703103
Birminawa,712102
Birnin,721101
Birnin Gwari,800108
Birnin Kebbi,8.60212E+59
Birnin Kogo,830102
Birnin Kuka,823102
Birshi,740102
Birshi Gandu,740102
Birshi Gawdu,740101
Biseni,569101
Bishi,740101
Bishiwo,260105
Bisigu,602101
Bisku,602103
Bisku,602101
Bisogana,602103
Bisogana,602101
Bisua,602101
Bitizuba Bassa,260105
Bitori,752106
Biu,6.03212E+53
Biye,962106
Boama,562101
Bodairi,611105
Bodinga,852101
Bodo,501103
Bodun,106101
Boghor,501103
Bogo,970101
Boh,770102
Boi,741104
